Category,No,Title,Company,Location,Publication Date,Technology Stack,Salary,Experience,Contract Type,URL,Description
Analista De Datos,47,Analista PL1 - Banca,Serem,100% remoto,27/05/2026,"PL1, jira, testlink",Not specified,5+ years,Permanent,https://www.tecnoempleo.com/analista-pl1-banca-serem/jira-testlink/rf-24ff127f42ef7378394a,"Buscamos incorporar un/a Analista PL1 con sólida experiencia en entorno bancario para integrarse en un equipo técnico consolidado, participando en proyectos de evolución y ... PL1 jira testlink"
Analista De Datos,48,Analista Programador/a Cobol Mainframe,sg tech,100% remoto,27/05/2026,"COBOL, IMS, DB2",Not specified,5+ years,Permanent,https://www.tecnoempleo.com/analista-programador-cobol-mainframe-sg-tech/ims-db2/rf-b9971f63b23f33475747,Precisamos incorporar un perfil de Analista Programador/a Cobol con un mínimo de 5 años de experiencia para trabajar en una multinacional española para el sector del ... COBOL IMS DB2
Analista De Datos,49,Analista Programador/a Python (Data),Inkoova,Barcelona,26/05/2026,"Python, SQL, Git",Not specified,2+ years,Permanent,https://www.tecnoempleo.com/analista-programador-python-data-inkoova/sql-git/rf-5e4c1fff02d3f381bd4a,"En Inkoova, empresa informática en crecimiento, buscamos incorporar un/a Analista Programador/a Python para unirse a nuestro equipo de data. Funciones: • Análisis de ... Python SQL Git"
Analista De Datos,50,Analista de Datos,Cajamar Tecnología,Almería,26/05/2026,"SQL, Python, R",Not specified,Not specified,Permanent,https://www.tecnoempleo.com/analista-datos-cajamar-tecnologia/sql-python/rf-b7af119422e53338c049,"En Cajamar Tecnología, necesitamos incorporar a una persona en la oficina Analítica Cliente. ¿Quiénes somos? Cajamar Tecnología es una empresa de servicios que forma... SQL Python R"
Analista De Datos,51,Analista Programador/a Full-stack,Aubay,Barcelona,26/05/2026,"java, angular",Not specified,4+ years,Permanent,https://www.tecnoempleo.com/analista-programador-full-stack-aubay/java-angular/rf-36ab17e51211f3f3624b,Funciones Creación e implementación de una solución de evolución y migración para el nuevo sistema departamental de gestión de material vegetal del Departamento de ... java angular
Analista De Datos,52,Analista Funcional - Negocio y Rentabilidad,Cajamar Tecnología,Almería,25/05/2026,"Excel, Power BI, SQL",Not specified,Not specified,Permanent,https://www.tecnoempleo.com/analista-funcional-negocio-rentabilidad-cajamar-te/excel-power-bi/rf-615719cd727883453543,"Analista Funcional - Procesos de Negocio y Rentabilidad En Cajamar Tecnología, necesitamos incorporar a una persona en la oficina Reporting Negocio. ¿Quiénes Somos? ... Excel Power BI SQL"
Analista De Datos,53,Analista Programador/a Frontend Angular,Aubay,Barcelona,25/05/2026,"Angular, JavaScript",Not specified,4+ years,Permanent,https://www.tecnoempleo.com/analista-programador-frontend-angular-aubay/javascript/rf-e60b1f85e21953333f4c,"Funciones Buscamos un profesional Senior con experiencia demostrable en desarrollo FrontEnd, idealmente como Analista Programador/a. Modelo de trabajo: híbrido - 2 d... Angular JavaScript"
Analista De Datos,54,IT Analista funcional,knowmad mood,Madrid,25/05/2026,"jira, Confluence, de SharePoint",Not specified,Not specified,Permanent,https://www.tecnoempleo.com/it-analista-funcional-knowmad-mood/jira-confluence/rf-f74f152022bab35d4044,"Buscamos un/a Analista Funcional cuyo objetivo será asegurar que los equipos de ingeniería trabajan con procesos claros, bien configurados y con datos fiables en ... jira Confluence de SharePoint"
Analista De Datos,55,Analista Programador/a Front Angular Material RE,Digital Talent Agency,100% remoto,25/05/2026,"angular, github, copilot",Not specified,4+ years,Permanent,https://www.tecnoempleo.com/analista-programador-front-angular-material-re-dig/github-copilot/rf-34a116a6725603669a49,"Descripción ¡Únete a Zemsania como Analista Programador/a Front Angular Material! 🚀 En Zemsania, estamos buscando un/a Analista Programador/a Front-End con una sólida ... angular github copilot"
Analista De Datos,56,Analista funcional de Riesgo de Crédito y Capital,Cajamar Tecnología,Almería,25/05/2026,"SQL, python, R",Not specified,Not specified,Permanent,https://www.tecnoempleo.com/analista-funcional-riesgo-credito-capital-cajamar-/sql-python/rf-a5c11977d2c633e41948,"En Cajamar Tecnología, necesitamos incorporar a una persona en la oficina Risk & Financial en Almería, Madrid, Granada, Valencia, Sevilla. ¿Quiénes somos? Cajamar ... SQL python R"
Analista De Datos,57,Analista de Inteligencia Ciberseguridad,Cajamar Tecnología,Almería,22/05/2026,"DORA, SWIFT, PCI",Not specified,Not specified,Permanent,https://www.tecnoempleo.com/analista-inteligencia-ciberseguridad-cajamar-tecno/dora-swift/rf-23b6187b1288f33a934e,"¿Qué necesitamos? Titulación: Licenciados y grados en Informática, Telecomunicaciones o similar Conocimientos y/o experiencia: Experiencia liderando ... DORA SWIFT PCI"
Analista De Datos,58,Analista Funcional - Reporte Regulatorio,Cajamar Tecnología,Almería,22/05/2026,"Power BI, SQL",Not specified,Not specified,Permanent,https://www.tecnoempleo.com/analista-funcional-reporte-regulatorio-cajamar-tec/power-bi-sql/rf-92a91e724239b310694c,"En Cajamar Tecnología, necesitamos incorporar un especialista en la oficina de Reporte Regulatorio. ¿Quiénes somos? Cajamar Tecnología es una empresa de servicios que ... Power BI SQL"
Analista De Datos,59,Analista/Responsable - Infraestructura de Clientes,Baoss,Madrid,21/05/2026,"migraciones, IA",Not specified,Not specified,Permanent,https://www.tecnoempleo.com/analista-responsable-infraestructura-clientes-baos/migraciones-ia/rf-87bc185cd25b636dbe40,"Buscamos Analista Funcional/Responsable en Infraestructura de Clientes para incorporarse a un proyecto estratégico en el sector bancario, enfocado en la evolución y ... migraciones IA"
Ingeniero De Datos,60,Ingeniero de procesos,Page Personnel,Barcelona,29/05/2026,"ingeneria, industrial",Not specified,Not specified,Permanent,https://www.tecnoempleo.com/ingeniero-procesos-page-personnel/ingeneria-industrial/rf-7d501df132f303dc5c49,"La persona seleccionada será responsable de analizar en campo los procesos operativos de diferentes clientes, realizar estudios de métodos y tiempos y construir una base de ... ingeneria industrial"
Ingeniero De Datos,61,Ingeniero de Procesos/Fabricación,Michael Page,Bizkaia,29/05/2026,"Ingeniería, Electrónica",Not specified,Not specified,Permanent,https://www.tecnoempleo.com/ingeniero-procesos-fabricacion-michael-page/ingenieria-electronica/rf-c45a185ae2373326124f,"La persona seleccionada liderará la línea en cuestiones de mejora de implantación, mejora de rendimientos y análisis de datos, para eso, se desempeñarán las siguientes ... Ingeniería Electrónica"
Ingeniero De Datos,62,Ingeniero Junior Mantenimiento,HAYS,Huelva,29/05/2026,"GMAO, Excel",21.000€ - 30.000€ b/a,Not specified,Permanent,https://www.tecnoempleo.com/ingeniero-junior-mantenimiento-hays/gmao-excel/rf-b95516e3c20a137d8045,Ubicación Lepe Jornada completa Contrato Indefinido Descripción del puesto Empresa industrial del sector agroalimentario busca incorporar un/a Ingeniero/a Junior de ... GMAO Excel
Ingeniero De Datos,63,Ingeniero Sr de Proyectos Industriales,Michael Page,Valencia,29/05/2026,CAD,Not specified,5+ years,Permanent,https://www.tecnoempleo.com/ingeniero-sr-proyectos-industriales-michael-page/cad/rf-04a914cfe26fe362c14f,"Perfil buscado (Hombre/Mujer) • Contacto directo y diario con los proveedores de equipos, instalaciones y servicios. • Realizar control de calidad del trabajo (... CAD"
Ingeniero De Datos,64,Ingeniero de Datos - Reporting Regulatorio,Cajamar Tecnología,Almería,28/05/2026,"SQL, ETL",Not specified,Not specified,Permanent,https://www.tecnoempleo.com/ingeniero-datos-reporting-regulatorio-cajamar-tecn/sql-etl/rf-aa001f8d125d930eb340,"En Cajamar Tecnología, empresa de servicios del Grupo Financiero Cajamar con presencia nacional, buscamos incorporar a una persona para el área de Reporting Regulatorio. ... SQL ETL"
Ingeniero De Datos,65,Ingeniero Software Java Hexagonal,knowmad mood,100% remoto,28/05/2026,"java, spring, SQL",Not specified,5+ years,Permanent,https://www.tecnoempleo.com/ingeniero-software-java-hexagonal-knowmad-mood/spring-sql/rf-2adf164882a623f79f4d,"We are knowmad mood! Somos una compañía líder en transformación digital, en constante evolución y a la vanguardia de la tecnología. Nacimos para provocar un cambio ... java spring SQL"
Ingeniero De Datos,66,Ingeniero de ITS,Invoin,Madrid,27/05/2026,"ITS, MS Project, Primavera",Not specified,3+ years,Permanent,https://www.tecnoempleo.com/ingeniero-its-invoin/its-ms-project-primavera-autocad-bim-snmp-cisco-work-/rf-915213d402d403f33147,En Grupo INVOIN necesitamos incorporar a nuestra plantilla un Ingeniero de ITS para participar en un proyecto europeo de ingeniería de tráfico y transporte en Madrid. ... ITS MS Project Primavera
Ingeniero De Datos,67,Ingeniero de proyectos. Instalaciones,Page Personnel,Madrid,27/05/2026,"Ingeniería, Industrial",Not specified,Not specified,Permanent,https://www.tecnoempleo.com/ingeniero-proyectos-instalaciones-page-personnel/ingenieria-industrial/rf-cffa1166e2679356eb44,"FUNCIONES: La persona seleccionada será responsable de analizar las necesidades técnicas del cliente, definir soluciones, preparar ofertas y supervisar la correcta ... Ingeniería Industrial"
Ingeniero De Datos,68,Ingeniero Informático,CENKER ROBOTICS,Bizkaia,25/05/2026,".net, C#, JAVA",Not specified,Not specified,Permanent,https://www.tecnoempleo.com/ingeniero-informatico-cenker-robotics/net-c/rf-edaa1245c28b637b9e4a,Empresa tecnológica especializada en automatización industrial y soluciones logísticas busca incorporar un/a Ingeniero/a Informático/a para participar en proyectos de ... .net C# JAVA
Ingeniero De Datos,69,Ingeniero de desarrollo - Sector Eólico,Michael Page,Navarra,25/05/2026,Ingenieria,Not specified,Not specified,Permanent,https://www.tecnoempleo.com/ingeniero-desarrollo-sector-eolico-michael-page/ingenieria/rf-25791945d2a3d3b33447,La persona seleccionada será responsable de: * Actuar como referente técnico y facilitador del conocimiento dentro del área de O&M. * Participar activamente en las ... Ingenieria
Ingeniero De Datos,70,Ingeniero IA,Page Personnel,Madrid,25/05/2026,"TensorFlow, PyTorch, Python",60.000€ - 72.000€ b/a,Not specified,Permanent,https://www.tecnoempleo.com/ingeniero-ia-page-personnel/tensorflow-pytorch/rf-a161145dc2d453dc6e48,"Perfil buscado (Hombre/Mujer) • Diseñar, desarrollar y optimizar modelos de inteligencia artificial y aprendizaje automático. • Implementar soluciones tecnológicas ... TensorFlow PyTorch Python"
Ingeniero De Datos,71,Ingeniero desarrollo producto,Page Personnel,Toledo,21/05/2026,"Microsoft 365, Excel, Word",Not specified,2+ years,Permanent,https://www.tecnoempleo.com/ingeniero-desarrollo-producto-page-personnel/microsoft-365-excel/rf-a1e813c7928e0371774f,"• Control, supervisión y seguimiento de todo el proceso productivo de la fabricación de baldosas cerámicas. • Preparación y formulación de las mezclas y materias ... Microsoft 365 Excel Word"
Ingeniero De Datos,72,Ingeniero Diseño Instalaciones,Page Personnel,Tarragona,20/05/2026,Ingenieria,Not specified,2+ years,Permanent,https://www.tecnoempleo.com/ingeniero-diseno-instalaciones-page-personnel/ingenieria/rf-cac61ed2b2b03380e44c,"Sobre el puesto de trabajo Es un perfil que estará en oficina, diseñando los proyectos para presentarlos a cliente, destacando también otras funciones: • Realizar ... Ingenieria"
Ingeniero De Datos,73,Ingeniero de Datos - Prevención Fraude,Cajamar Tecnología,Almería,08/05/2026,"SQL, Azure, AWS",Not specified,Not specified,Permanent,https://www.tecnoempleo.com/ingeniero-datos-prevencion-fraude-cajamar-tecnolog/sql-azure/rf-37a713d6a231734c0142,"Ingeniero de Datos - Prevención del Fraude y Financiación del Terrorismo Cajamar Tecnología es una empresa de servicios que forma parte del Grupo Financiero Cajamar, con ... SQL Azure AWS"
